menu_item_id,restaurant_id,item_name,price
R32379007_1,R32379007,Tacos,10.2
R32379007_2,R32379007,Burritos,13.93
R32379007_3,R32379007,Enchiladas,14.15
R32379007_4,R32379007,Quesadillas,10.47
R32379007_5,R32379007,Nachos,10.8
R32379007_6,R32379007,Fajitas,15.31
R32379007_7,R32379007,Guacamole,7.55
R32379007_8,R32379007,Churros,4.39
R32379007_9,R32379007,Tamales,7.57
R32379007_10,R32379007,Tortilla Soup,7.38
R32379007_11,R32379007,Carnitas,16.42
R32379007_12,R32379007,Chimichangas,12.67
R32379007_13,R32379007,Huevos Rancheros,11.28
R32379007_14,R32379007,Salsa,4.67
R32379007_15,R32379007,Pozole,9.73
R67053557_1,R67053557,Gyro,10.15
R67053557_2,R67053557,Souvlaki,14.68
R67053557_3,R67053557,Moussaka,16.57
R67053557_4,R67053557,Spanakopita,10.49
R67053557_5,R67053557,Greek Salad,8.98
R67053557_6,R67053557,Baklava,5.68
R67053557_7,R67053557,Tzatziki,4.27
R67053557_8,R67053557,Dolmades,8.38
R67053557_9,R67053557,Saganaki,10.12
R67053557_10,R67053557,Lamb Kleftiko,14.49
R67053557_11,R67053557,Feta Cheese,5.82
R67053557_12,R67053557,Pastitsio,14.0
R67053557_13,R67053557,Loukoumades,5.68
R67053557_14,R67053557,Taramasalata,6.98
R67053557_15,R67053557,Galaktoboureko,4.43
R34699968_1,R34699968,Spring Rolls,6.57
R34699968_2,R34699968,Kung Pao Chicken,14.53
R34699968_3,R34699968,Sweet and Sour Pork,9.91
R34699968_4,R34699968,Fried Rice,9.31
R34699968_5,R34699968,Dumplings,10.18
R34699968_6,R34699968,Hot and Sour Soup,5.22
R34699968_7,R34699968,Peking Duck,24.35
R34699968_8,R34699968,Chow Mein,10.63
R34699968_9,R34699968,General Tso's Chicken,13.87
R34699968_10,R34699968,Egg Drop Soup,4.77
R34699968_11,R34699968,Szechuan Beef,15.48
R34699968_12,R34699968,Lo Mein,11.91
R34699968_13,R34699968,Orange Chicken,16.09
R34699968_14,R34699968,Mapo Tofu,9.94
R34699968_15,R34699968,Moo Shu Pork,10.35
R78386325_1,R78386325,Sushi,20.06
R78386325_2,R78386325,Sashimi,18.58
R78386325_3,R78386325,Ramen,14.49
R78386325_4,R78386325,Tempura,12.9
R78386325_5,R78386325,Udon,13.8
R78386325_6,R78386325,Miso Soup,7.58
R78386325_7,R78386325,Teriyaki Chicken,19.42
R78386325_8,R78386325,Takoyaki,7.76
R78386325_9,R78386325,Gyoza,7.46
R78386325_10,R78386325,Mochi,5.65
R78386325_11,R78386325,Katsu Curry,11.31
R78386325_12,R78386325,Onigiri,4.51
R78386325_13,R78386325,Yakisoba,12.63
R78386325_14,R78386325,Sukiyaki,21.01
R78386325_15,R78386325,Matcha Ice Cream,4.48
R91598677_1,R91598677,Croissant,3.51
R91598677_2,R91598677,Baguette,2.95
R91598677_3,R91598677,Ratatouille,15.22
R91598677_4,R91598677,Crepes,9.2
R91598677_5,R91598677,Quiche,9.57
R91598677_6,R91598677,Bouillabaisse,15.11
R91598677_7,R91598677,Coq au Vin,16.81
R91598677_8,R91598677,Escargot,10.33
R91598677_9,R91598677,Beef Bourguignon,21.59
R91598677_10,R91598677,Macarons,7.18
R91598677_11,R91598677,Souffle,8.13
R91598677_12,R91598677,Croque Monsieur,8.6
R91598677_13,R91598677,Nicoise Salad,11.08
R91598677_14,R91598677,Creme Brulee,7.66
R91598677_15,R91598677,Tarte Tatin,11.27
R83643580_1,R83643580,Spaghetti,16.33
R83643580_2,R83643580,Lasagna,17.53
R83643580_3,R83643580,Ravioli,13.9
R83643580_4,R83643580,Margherita Pizza,13.39
R83643580_5,R83643580,Fettuccine Alfredo,18.39
R83643580_6,R83643580,Bruschetta,6.63
R83643580_7,R83643580,Tiramisu,6.19
R83643580_8,R83643580,Risotto,14.66
R83643580_9,R83643580,Pesto Pasta,12.05
R83643580_10,R83643580,Carbonara,16.14
R83643580_11,R83643580,Caprese Salad,9.2
R83643580_12,R83643580,Gnocchi,11.26
R83643580_13,R83643580,Calzone,10.32
R83643580_14,R83643580,Minestrone Soup,8.93
R83643580_15,R83643580,Gelato,6.22
R49476631_1,R49476631,Spaghetti,13.92
R49476631_2,R49476631,Lasagna,18.78
R49476631_3,R49476631,Ravioli,19.5
R49476631_4,R49476631,Margherita Pizza,13.29
R49476631_5,R49476631,Fettuccine Alfredo,13.32
R49476631_6,R49476631,Bruschetta,10.88
R49476631_7,R49476631,Tiramisu,8.86
R49476631_8,R49476631,Risotto,18.61
R49476631_9,R49476631,Pesto Pasta,10.25
R49476631_10,R49476631,Carbonara,14.56
R49476631_11,R49476631,Caprese Salad,12.13
R49476631_12,R49476631,Gnocchi,11.45
R49476631_13,R49476631,Calzone,14.19
R49476631_14,R49476631,Minestrone Soup,8.35
R49476631_15,R49476631,Gelato,4.3
R55338520_1,R55338520,Butter Chicken,15.55
R55338520_2,R55338520,Tandoori Chicken,16.19
R55338520_3,R55338520,Paneer Tikka,16.63
R55338520_4,R55338520,Naan,2.88
R55338520_5,R55338520,Biryani,10.88
R55338520_6,R55338520,Samosas,4.99
R55338520_7,R55338520,Chole Bhature,12.35
R55338520_8,R55338520,Palak Paneer,10.45
R55338520_9,R55338520,Rogan Josh,18.37
R55338520_10,R55338520,Gulab Jamun,6.79
R55338520_11,R55338520,Dal Makhani,13.83
R55338520_12,R55338520,Masala Dosa,8.31
R55338520_13,R55338520,Aloo Gobi,9.86
R55338520_14,R55338520,Kheer,4.57
R55338520_15,R55338520,Lassi,4.35
R14634685_1,R14634685,Tacos,10.89
R14634685_2,R14634685,Burritos,11.35
R14634685_3,R14634685,Enchiladas,12.85
R14634685_4,R14634685,Quesadillas,7.11
R14634685_5,R14634685,Nachos,6.1
R14634685_6,R14634685,Fajitas,17.84
R14634685_7,R14634685,Guacamole,4.4
R14634685_8,R14634685,Churros,3.48
R14634685_9,R14634685,Tamales,8.26
R14634685_10,R14634685,Tortilla Soup,9.07
R14634685_11,R14634685,Carnitas,13.15
R14634685_12,R14634685,Chimichangas,11.99
R14634685_13,R14634685,Huevos Rancheros,9.54
R14634685_14,R14634685,Salsa,5.28
R14634685_15,R14634685,Pozole,9.06
R60923263_1,R60923263,Gyro,12.06
R60923263_2,R60923263,Souvlaki,16.38
R60923263_3,R60923263,Moussaka,14.65
R60923263_4,R60923263,Spanakopita,10.54
R60923263_5,R60923263,Greek Salad,6.83
R60923263_6,R60923263,Baklava,6.33
R60923263_7,R60923263,Tzatziki,4.32
R60923263_8,R60923263,Dolmades,6.82
R60923263_9,R60923263,Saganaki,13.94
R60923263_10,R60923263,Lamb Kleftiko,14.96
R60923263_11,R60923263,Feta Cheese,7.77
R60923263_12,R60923263,Pastitsio,12.25
R60923263_13,R60923263,Loukoumades,5.45
R60923263_14,R60923263,Taramasalata,5.58
R60923263_15,R60923263,Galaktoboureko,5.15
R81588954_1,R81588954,Pad Thai,11.57
R81588954_2,R81588954,Green Curry,12.11
R81588954_3,R81588954,Tom Yum Soup,10.26
R81588954_4,R81588954,Massaman Curry,12.69
R81588954_5,R81588954,Satay,11.14
R81588954_6,R81588954,Som Tum,13.36
R81588954_7,R81588954,Pad See Ew,8.64
R81588954_8,R81588954,Mango Sticky Rice,5.86
R81588954_9,R81588954,Red Curry,9.67
R81588954_10,R81588954,Panang Curry,15.71
R81588954_11,R81588954,Thai Fried Rice,11.5
R81588954_12,R81588954,Larb,9.4
R81588954_13,R81588954,Tom Kha Gai,8.97
R81588954_14,R81588954,Spring Rolls,7.41
R81588954_15,R81588954,Fish Cakes,7.31
R61379248_1,R61379248,Tacos,10.57
R61379248_2,R61379248,Burritos,10.19
R61379248_3,R61379248,Enchiladas,9.93
R61379248_4,R61379248,Quesadillas,12.15
R61379248_5,R61379248,Nachos,7.47
R61379248_6,R61379248,Fajitas,10.97
R61379248_7,R61379248,Guacamole,5.06
R61379248_8,R61379248,Churros,6.02
R61379248_9,R61379248,Tamales,9.18
R61379248_10,R61379248,Tortilla Soup,8.99
R61379248_11,R61379248,Carnitas,17.11
R61379248_12,R61379248,Chimichangas,13.14
R61379248_13,R61379248,Huevos Rancheros,12.28
R61379248_14,R61379248,Salsa,3.78
R61379248_15,R61379248,Pozole,10.16
R32416118_1,R32416118,Paella,18.8
R32416118_2,R32416118,Tapas,10.01
R32416118_3,R32416118,Churros,5.16
R32416118_4,R32416118,Tortilla Espanola,9.2
R32416118_5,R32416118,Gazpacho,5.15
R32416118_6,R32416118,Patatas Bravas,10.82
R32416118_7,R32416118,Jamon Iberico,18.15
R32416118_8,R32416118,Pisto,8.86
R32416118_9,R32416118,Croquetas,7.45
R32416118_10,R32416118,Albondigas,10.84
R32416118_11,R32416118,Pulpo a la Gallega,20.47
R32416118_12,R32416118,Empanadas,8.6
R32416118_13,R32416118,Crema Catalana,6.79
R32416118_14,R32416118,Manchego Cheese,10.83
R32416118_15,R32416118,Pimientos de Padron,8.73
R75456027_1,R75456027,Tacos,8.96
R75456027_2,R75456027,Burritos,11.34
R75456027_3,R75456027,Enchiladas,11.12
R75456027_4,R75456027,Quesadillas,11.1
R75456027_5,R75456027,Nachos,6.3
R75456027_6,R75456027,Fajitas,13.38
R75456027_7,R75456027,Guacamole,6.69
R75456027_8,R75456027,Churros,4.51
R75456027_9,R75456027,Tamales,8.19
R75456027_10,R75456027,Tortilla Soup,9.27
R75456027_11,R75456027,Carnitas,13.05
R75456027_12,R75456027,Chimichangas,9.17
R75456027_13,R75456027,Huevos Rancheros,8.45
R75456027_14,R75456027,Salsa,3.68
R75456027_15,R75456027,Pozole,11.41
R56379660_1,R56379660,Spaghetti,10.81
R56379660_2,R56379660,Lasagna,15.32
R56379660_3,R56379660,Ravioli,17.71
R56379660_4,R56379660,Margherita Pizza,10.69
R56379660_5,R56379660,Fettuccine Alfredo,12.67
R56379660_6,R56379660,Bruschetta,10.21
R56379660_7,R56379660,Tiramisu,5.68
R56379660_8,R56379660,Risotto,24.57
R56379660_9,R56379660,Pesto Pasta,14.82
R56379660_10,R56379660,Carbonara,17.89
R56379660_11,R56379660,Caprese Salad,8.18
R56379660_12,R56379660,Gnocchi,12.59
R56379660_13,R56379660,Calzone,12.81
R56379660_14,R56379660,Minestrone Soup,7.27
R56379660_15,R56379660,Gelato,4.61
R66569669_1,R66569669,Sushi,20.69
R66569669_2,R66569669,Sashimi,16.85
R66569669_3,R66569669,Ramen,16.53
R66569669_4,R66569669,Tempura,15.72
R66569669_5,R66569669,Udon,10.01
R66569669_6,R66569669,Miso Soup,4.67
R66569669_7,R66569669,Teriyaki Chicken,13.88
R66569669_8,R66569669,Takoyaki,6.82
R66569669_9,R66569669,Gyoza,8.86
