restaurant_id,name,address,phone_number,email,cuisine_type
R32379007,Mexican Taco ,"3305 Ann Street Suite 894
Hughesburgh, NV 49630",587.716.2712x3297,contact@mexicantaco.yahoo.com,Mexican
R67053557,Greek Santorini ,"4260 Deborah Tunnel Apt. 980
Lake Charles, VA 53586",251.240.0534,contact@greeksantorini.yahoo.com,Greek
R34699968,Chinese Mandarin ,"691 Tonya Plains Suite 551
South Kristyland, SD 16154",001-432-619-6685x41899,contact@chinesemandarin.gmail.com,Chinese
R78386325,Japanese Samurai ,"6845 Noble Fort Suite 751
Galvanmouth, MD 36131",(363)943-8801x69956,contact@japanesesamurai.yahoo.com,Japanese
R91598677,French Parisian ,"439 Hernandez Valley Apt. 706
Victorbury, PR 82329",588-580-5531x1913,contact@frenchparisian.gmail.com,French
R83643580,Italian Osteria ,"6715 Morales Forge
West Jason, CT 23556",643.701.5737,contact@italianosteria.yahoo.com,Italian
R49476631,Italian Osteria ,"4399 Colleen Via Apt. 471
Nicholashaven, CT 08111",(218)752-3209x4681,contact@italianosteria.gmail.com,Italian
R55338520,Indian Spice ,"3255 Mary Lodge
South Jennafort, WI 50220",(709)269-5103x447,contact@indianspice.yahoo.com,Indian
R14634685,Mexican Taco ,"431 Nelson Rapids Apt. 061
Port Erikaside, MN 50791",6822151044,contact@mexicantaco.yahoo.com,Mexican
R60923263,Greek Taverna ,"85206 Johnson Drive Apt. 230
Bradleyburgh, MD 43834",9336022109,contact@greektaverna.hotmail.com,Greek
R81588954,Thai Basil ,"03081 Stevens Street Suite 713
Carlafort, RI 04789",(862)670-2891,contact@thaibasil.yahoo.com,Thai
R61379248,Mexican Fiesta ,"36370 Willis Neck
Robertbury, VT 57630",001-836-556-0096x0024,contact@mexicanfiesta.gmail.com,Mexican
R32416118,Spanish Flamenco ,"241 Christine Skyway Suite 722
Leestad, AZ 65224",001-725-717-5376x09470,contact@spanishflamenco.yahoo.com,Spanish
R75456027,Mexican Fiesta ,"212 Crawford Tunnel
Port Zachary, MS 75407",001-461-271-9866,contact@mexicanfiesta.hotmail.com,Mexican
R56379660,Italian Ristorante ,"379 Taylor Ranch Apt. 678
Port Karaberg, WV 79370",272-682-3721,contact@italianristorante.hotmail.com,Italian
R66569669,Japanese Sushi ,"03428 Gregory Forges
Garcialand, MA 69724",(917)302-0973,contact@japanesesushi.hotmail.com,Japanese
R71781659,Italian Ristorante ,"709 Olsen Vista Apt. 424
Tamaraborough, NE 92240",722-266-1334,contact@italianristorante.yahoo.com,Italian
R43358094,Greek Taverna ,"49591 Powell Field
Stonemouth, KY 48233",001-731-836-9497,contact@greektaverna.hotmail.com,Greek
R38512515,Greek Santorini ,"37070 Fitzgerald Creek Apt. 640
West Kathleen, ND 58849",(285)305-5835x5870,contact@greeksantorini.hotmail.com,Greek
R88293228,Spanish Paella ,"Unit 2939 Box 9021
DPO AP 71505",(314)306-6857,contact@spanishpaella.gmail.com,Spanish
R13854557,Chinese Mandarin ,"8401 Moreno Cape
Jasminstad, DC 33944",953.584.7614x35742,contact@chinesemandarin.hotmail.com,Chinese
R78784398,Italian Trattoria ,"83641 Matthew Tunnel
Hillhaven, DE 44156",787-238-3080,contact@italiantrattoria.hotmail.com,Italian
R24490202,Chinese Panda ,"29091 Maddox Glens
Johnsonville, KS 82305",(772)660-2636x540,contact@chinesepanda.yahoo.com,Chinese
R70494831,Spanish Tapas ,"6558 Margaret Islands Suite 076
South Willieshire, VA 47708",001-701-804-1645x7230,contact@spanishtapas.yahoo.com,Spanish
R35730470,Japanese Noodle ,"79194 Pamela Fields Apt. 172
Deannaside, ME 03823",001-581-602-9445,contact@japanesenoodle.hotmail.com,Japanese
R68642848,Greek Olive ,"PSC 7654, Box 0011
APO AA 36847",359-697-4170x630,contact@greekolive.gmail.com,Greek
R58370120,Indian Saffron ,"26801 Jonathan Ports
Murphyfort, ME 65555",572-553-2541x46853,contact@indiansaffron.gmail.com,Indian
R26412803,American Diner ,"484 Nicholas Extensions
South Whitney, GU 39491",(788)505-4011x00019,contact@americandiner.hotmail.com,American
R28903240,Indian Curry ,"0907 Cunningham Course
West Timothyland, OK 46199",937.689.2912,contact@indiancurry.hotmail.com,Indian
R69522282,Mexican Casa ,"6772 Daniel Squares
Trevorfurt, WV 49886",(596)408-6732,contact@mexicancasa.yahoo.com,Mexican
R46051867,Greek Gyro ,"92814 Dylan Circle
Baldwinshire, WI 55544",661.833.1373,contact@greekgyro.yahoo.com,Greek
R86351124,Spanish Fiesta ,"447 Smith Station Apt. 745
Port Rebeccabury, CT 11084",+1-575-477-4415x498,contact@spanishfiesta.yahoo.com,Spanish
R94029692,Spanish Tapas ,"94148 Adams Land
New Kimberly, RI 65319",852-270-4076x673,contact@spanishtapas.hotmail.com,Spanish
R83220806,Spanish Casa ,"031 Christina Mill Suite 954
Frankshire, SC 07004",+1-710-300-5303x35577,contact@spanishcasa.yahoo.com,Spanish
R14073252,Mexican Cantina ,"Unit 5471 Box 5398
DPO AA 34480",467-385-8603,contact@mexicancantina.hotmail.com,Mexican
R45010701,Mexican Cantina ,"70671 Margaret Tunnel Suite 470
Port Brenda, AK 02675",394.283.4568,contact@mexicancantina.hotmail.com,Mexican
R34473180,Indian Maharaja ,"682 Melissa Inlet
Port Julian, NE 63454",288-509-7893,contact@indianmaharaja.hotmail.com,Indian
R71729692,Indian Masala ,"33854 Lisa Vista Suite 504
Smithville, KY 94664",549.242.7402x166,contact@indianmasala.hotmail.com,Indian
R70527499,American Steakhouse ,"178 Stephen Spur Suite 730
Reneechester, CT 66087",+1-517-839-3559x71928,contact@americansteakhouse.yahoo.com,American
R64284712,Thai Bangkok ,"911 Kyle Squares
New Christopherfurt, OK 80896",(530)949-3210,contact@thaibangkok.yahoo.com,Thai
R38410673,Japanese Tokyo ,"2283 Foster Isle Apt. 035
North Jasonburgh, WV 14855",(778)840-5767,contact@japanesetokyo.yahoo.com,Japanese
R95792869,Spanish Casa ,"Unit 4983 Box 3855
DPO AP 20238",400.280.1141,contact@spanishcasa.gmail.com,Spanish
R63530221,American Barbecue ,"04091 Sanford Key
West Amyville, MS 13135",(371)542-2373,contact@americanbarbecue.yahoo.com,American
R76263720,Spanish Fiesta ,"19376 Jamie Hollow
Port Robert, MN 92719",(222)614-8370x5181,contact@spanishfiesta.gmail.com,Spanish
R57036247,American Burger ,"USS Guzman
FPO AA 69475",+1-528-555-2085x600,contact@americanburger.gmail.com,American
R79998897,Chinese Golden ,"USCGC Russell
FPO AP 55322",(373)606-2467x52154,contact@chinesegolden.hotmail.com,Chinese
R26007183,American Grill ,"867 Lee Springs
Cynthiamouth, OR 68693",345.374.6354x91356,contact@americangrill.yahoo.com,American
R80930845,Japanese Sushi ,"0737 Villanueva Row Apt. 180
Wagnerberg, VI 88956",001-948-614-9663,contact@japanesesushi.gmail.com,Japanese
R93732209,Indian Spice ,"USCGC Andrews
FPO AE 59706",(254)363-8227,contact@indianspice.hotmail.com,Indian
R60446522,American Steakhouse ,"2889 Murphy Corner Suite 354
Sarahtown, NJ 67997",4496425495,contact@americansteakhouse.gmail.com,American
R50912642,Italian Trattoria ,"393 Morgan Mall
Smithmouth, OH 90295",+1-554-444-2687x068,contact@italiantrattoria.hotmail.com,Italian
